web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543365583-274","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/improvefurmanschool","","of €40,000 goal","€655","20","Raised by 20 people in 14 months"
"1543365518-256","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/TheGeniusWithin","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/6090653_1442878779.3595.jpg","of $1,500 goal","$1,500","29","Raised by 29 people in 38 months"
"1543365690-301","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/makerspacesigler","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/1683494_1404912960.2732_app.png","of $3,000 goal","$3,000","36","Raised by 36 people in 53 months"
"1543365732-311","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/sparkles-education-fund","https://d2g8igdw686xgo.cloudfront.net/21907590_fb_1498770699.7431_funds.jpg","of $1,400 goal","$900","21","Raised by 21 people in 17 months"
"1543366176-428","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/laptop-for-a-better-life","https://d2g8igdw686xgo.cloudfront.net/32354328_1534970861420480_r.jpeg","goal","$294","3 months","Campaign created 3 months ago"
"1543365815-334","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/my-last-years-university-fund","https://d2g8igdw686xgo.cloudfront.net/17511098_1484624373.5969.jpg","of $30,000 goal","$3,424","38","Raised by 38 people in 22 months"
"1543366775-571","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/please-help-college-education","https://d2g8igdw686xgo.cloudfront.net/34792014_1543019077538885_r.jpeg","goal","€20,000","4 days","Campaign created 4 days ago"
"1543381013-800","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-me-get-a-vr-ready-rig-for-dev","https://d2g8igdw686xgo.cloudfront.net/28951308_1534412689892118_r.jpeg","of kr30,000 goal","kr210","3","Raised by 3 people in 3 months"
"1543366278-448","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/8ekq2z-help-continue-education","https://d2g8igdw686xgo.cloudfront.net/33796010_153972671336443_r.jpeg","of $4,000 goal","$100","1","Raised by 1 person in 1 month"
"1543372062-658","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/photos-for-education","https://d2g8igdw686xgo.cloudfront.net/16361816_1480396664.6173.jpg","of $500 goal","$650","7","Raised by 7 people in 24 months"
